代码	意义	POS显示的内容
00	承兑或交易成功	交易成功
01	查发卡机构	交易失败，请联系发卡机构
02	查发卡机构的特殊条件	交易失败，请联系发卡机构
03	无效商户	商户未登记
04	没收卡	没收卡，请联系收单机构
05	不予承兑	交易失败，请联系发卡机构
06	出错	交易失败，请联系发卡机构
07	特殊条件下没收卡	没收卡，请联系收单机构
09	请求正在处理中	交易失败，请重试
12	无效交易	交易失败，请重试
13	无效金额	交易金额超限，请重试
14	无效卡号	无效卡号，请联系发卡机构
15	无此发卡机构	此卡不能受理
19	重新送入交易	交易失败，请联系发卡机构
20	无效应答	交易失败，请联系发卡机构
21	不做任何处理	交易失败，请联系发卡机构
22	怀疑操作有误	操作有误，请重试
23	不可接受的交易费	交易失败，请联系发卡机构
25	未能找到文件上记录	交易失败，请联系发卡机构
30	格式错误	交易失败，请重试
31	银联不支持的银机构	此卡不能受理
33	过期的卡	过期卡，请联系发卡机构
34	有作弊嫌疑	没收卡，请联系收单机构
35	受卡方与安全保密部门联系	没收卡，请联系收单机构
36	受限制的卡	此卡有误，请换卡重试
37	受卡方呼受理方安全保密部门(没收卡)	没收卡，请联系收单机构
38	超过允许的PIN试输入	密码错误次数超限
39	无此信用卡账户	交易失败，请联系发卡机构
40	请求的功能尚不支持	交易失败，请联系发卡行
41	丢失卡	没收卡，请联系收单行
42	无此账户	交易失败，请联系发卡方
43	被窃卡	没收卡，请联系收单机构
44	无此投资账户	交易失败，请联系发卡机构
51	无足够的存款	余额不足，请查询
52	无此支票账户	交易失败，请联系发卡机构
53	无此储蓄卡账户	交易失败，请联系发卡机构
54	过期的卡	过期卡，请联系发卡机构
55	不正确的PIN	密码错，请重试
56	无此卡记录	交易失败，请联系发卡机构
57	不允许持卡人进机构的交易	交易失败，请联系发卡机构
58	不允许终端进机构的交易	终端无效，请联系收单机构或银联
59	有作弊嫌疑	交易失败，请联系发卡机构
60	受卡方与安全保密部门联系	交易失败，请联系发卡机构
61	超出取款金额限制	金额太大
62	受限制的卡	交易失败，请联系发卡机构
63	违反安全保密规定	交易失败，请联系发卡机构
64	原始金额不正确	交易失败，请联系发卡机构
65	超出取款次数限制	超出取款次数限制
66	受卡方呼受理方安全保密部门	交易失败，请联系收单机构或银联
67	捕捉（没收卡）	没收卡
68	收到的回答太迟	交易超时，请重试
75	允许的输入PIN次数超限	密码错误次数超限
77	需要向网络中心签到	请向网络中心签到
79	脱机交易对账不平	POS终端重传脱机数据
90	日期切换正在处理	交易失败，请稍后重试
91	发卡机构或银联不能操作	交易失败，请稍后重试
92	金融机构或中间网络设施找不到或无法达到	交易失败，请稍后重试
93	交易违法、不能完成	交易失败，请联系发卡机构
94	重复交易	交易失败，请稍后重试
95	调节控制错	交易失败，请稍后重试
96	系统异常、失效	交易失败，请稍后重试
97	POS终端号找不到	终端未登记，请联系收单机构或银联
98	银联收不到发卡机构应答	交易超时，请重试
99	PIN格式错	校验错，请重新签到
A0	MAC校验错	校验错，请重新签到
CC	广发特殊差错	没没请联系收单机构（广发）
E0	未找到积分帐号	您本卡无普通积分
E1	您当前没有积分	您本卡无普通积分
E2	积分余额不足	积分余额不足
E3	积分支付流水不存在	操作有误，请重试
E4	积分支付流水已撤销	操作有误，请重试
E5	该积分类型不可使用	积分类型不可使用
E6	卡号不存在	积分卡号不存在
E7	核销卡交易失败	受限制卡
E8	虚拟卡交易失败	受限制卡
E9	异形卡交易失败	受限制卡
EA	附属卡交易失败	受限制卡
EB	未设置折算率	积分未设置折算率
EC	该卡产品在积分系统中未录入	您本卡无普通积分
ED	积分系统拒绝注销卡进行交易	受限制卡
EE	持卡人标志不正常	您目前无法进行积分支付，请致电95508
EF	户口标志不正常	您目前无法进行积分支付，请致电95508
EG	卡片标志不正常	您目前无法进行积分支付，请致电95508
EH	积分抵扣的金额占比超过上限	积分抵扣的金额占比超过上限
EI	积分抵扣的金额超过上限	积分抵扣的金额超过上限
EJ	积分抵扣的金额低于下限	积分抵扣的金额低于下限
EZ	积分系统其他异常	积分系统异常
v1	验证码重复申请	验证码重复申请
v2	验证码申请失败	验证码申请失败
v3	验证码已使用	验证码已使用
v4	失败	失败
v5	验证码错误	验证码错误
v6	验证码超过有效时间	验证码超过有效时间
